states,actions
"[0.0859029241215959, 0.0, -0.12055577520620275, 0.013086261274139588]",[0.03167468940130736]
"[0.08283496254582462, -0.003067961575771161, -0.2498426989535263, -0.14292906976922382]",[-0.4930677056317697]
"[0.08283496254582462, -0.003067961575771161, -0.19987415916282192, -0.11434325581538474]",[-0.8702485208470162]
"[0.08283496254582462, -0.003067961575771161, -0.15989932733025736, -0.09147460465229074]",[-0.9192297172036942]
"[0.08283496254582462, -0.003067961575771161, -0.12791946186420589, -0.07317968372186101]",[-0.581208398603071]
"[0.08283496254582462, 0.0, -0.10233556949136524, 0.09485433181109215]",[0.06364312184961496]
"[0.08283496254582462, 0.0, -0.0818684555930922, 0.07588346544889646]",[0.6883967554357483]
"[0.08283496254582462, 0.0, -0.06549476447447411, 0.06070677235908306]",[0.8404929594306326]
"[0.08283496254582462, 0.0, -0.05239581157957929, 0.048565417887289186]",[0.23650425139486642]
"[0.08283496254582462, 0.003067961575771161, -0.041916649263663786, 0.1922504130983782]",[-0.03580084495536365]
"[0.08283496254582462, 0.003067961575771161, -0.03353331941093085, 0.15380033047873098]",[0.46818055274957626]
"[0.08283496254582462, 0.003067961575771161, -0.026826655528744858, 0.1230402643829791]",[0.8843743492625391]
"[0.08283496254582462, 0.003067961575771161, -0.02146132442299553, 0.0984322115063776]",[0.4321402561117459]
"[0.07976700097005335, 0.003067961575771161, -0.1705671383269598, 0.07874576920508503]",[-0.08275727504670598]
"[0.07976700097005335, 0.003067961575771161, -0.1364537106615682, 0.06299661536405665]",[0.056336481214057654]
"[0.07976700097005335, 0.003067961575771161, -0.10916296852925456, 0.050397292291222584]",[0.3321340940388403]
"[0.07976700097005335, 0.003067961575771161, -0.087330374823404, 0.04031783383297238]",[0.17585204577928817]
"[0.07669903939428206, 0.003067961575771161, -0.22326237864728782, 0.032254267066377906]",[-0.013873209615805002]
"[0.07669903939428206, 0.003067961575771161, -0.17860990291783008, 0.025803413653079588]",[0.1801905050350977]
"[0.07669903939428206, 0.003067961575771161, -0.14288792233426406, 0.020642730922446617]",[0.367226833241176]
"[0.07669903939428206, 0.003067961575771161, -0.11431033786741152, 0.016514184737957294]",[0.15482885845911615]
"[0.07669903939428206, 0.003067961575771161, -0.09144827029392921, 0.01321134779036015]",[-0.14940139015891543]
"[0.07363107781851078, 0.003067961575771161, -0.22655669502370746, 0.010569078232293805]",[-0.10225345182884392]
"[0.07363107781851078, 0.003067961575771161, -0.18124535601896596, 0.008455262585840728]",[0.2634616418188763]
"[0.07363107781851078, 0.003067961575771161, -0.14499628481517268, 0.006764210068666898]",[0.44134298200167144]
"[0.07363107781851078, 0.003067961575771161, -0.11599702785213806, 0.00541136805492215]",[0.16459535478361859]
"[0.07056311624273949, 0.003067961575771161, -0.24619570107027444, 0.004329094443960457]",[-0.04060954394925752]
"[0.07056311624273949, 0.0, -0.19695656085621982, -0.1499348032333785]",[-0.14482778576088942]
"[0.07056311624273949, 0.0, -0.15756524868497568, -0.1199478425866971]",[-0.528074380612577]
"[0.07056311624273949, 0.0, -0.12605219894798037, -0.09595827406937474]",[-0.9891462064478409]
"[0.07056311624273949, 0.0, -0.10084175915838456, -0.07676661925546568]",[-0.7486004102315642]
"[0.0674951546669682, 0.0, -0.23407148611527218, -0.06141329540437823]",[-0.08488068865956785]
"[0.0674951546669682, 0.0, -0.18725718889221765, -0.04913063632352532]",[0.3929654939779643]
"[0.0674951546669682, 0.0, -0.14980575111377448, -0.03930450905880889]",[0.40618083588859666]
"[0.0674951546669682, 0.003067961575771161, -0.11984460089101967, 0.12195447154149974]",[0.3564420522928534]
"[0.0674951546669682, 0.003067961575771161, -0.09587568071281583, 0.09756357723318843]",[0.6332466139416657]
"[0.0674951546669682, 0.003067961575771161, -0.07670054457025266, 0.07805086178655074]",[0.8591760285548765]
"[0.0674951546669682, 0.003067961575771161, -0.061360435656202306, 0.06244068942922354]",[0.405463739299327]
"[0.0674951546669682, 0.003067961575771161, -0.04908834852496158, 0.049952551543384516]",[-0.16547106587882848]
"[0.0674951546669682, 0.003067961575771161, -0.03927067881996971, 0.03996204123470193]",[-0.2909486033258246]
"[0.0674951546669682, 0.003067961575771161, -0.031416543055975854, 0.03196963298776723]",[-0.1481091644703621]
"[0.0674951546669682, 0.003067961575771161, -0.025133234444780772, 0.02557570639021378]",[-0.04487370337433339]
"[0.0674951546669682, 0.003067961575771161, -0.020106587555825062, 0.02046056511218808]",[-0.05259387558402736]
"[0.06442719309119693, 0.003067961575771161, -0.16948334883322325, 0.016368452089750463]",[0.030093436743608978]
"[0.06442719309119693, 0.003067961575771161, -0.1355866790665785, 0.013094761671794686]",[0.30902847743834244]
"[0.06442719309119693, 0.003067961575771161, -0.10846934325326307, 0.010475809337435749]",[0.4385195045349037]
"[0.06442719309119693, 0.003067961575771161, -0.08677547460261037, 0.008380647469948599]",[0.17244249855829025]
"[0.06442719309119693, 0.003067961575771161, -0.06942037968208803, 0.006704517975975932]",[-0.1337235783629777]
"[0.06442719309119693, 0.003067961575771161, -0.05553630374567042, 0.005363614380769377]",[-0.19093722323183993]
"[0.06442719309119693, 0.003067961575771161, -0.04442904299653616, 0.004290891504609817]",[-0.10980577175904728]
"[0.06442719309119693, 0.003067961575771161, -0.03554323439722884, 0.003432713203693538]",[-0.05607773975680159]
