states,actions
"[0.05522330836388308, 0.0, -0.0033794211677800057, 0.15315578367057014]",[0.8552453131523151]
"[0.05522330836388308, 0.0, -0.0027035369342240934, 0.12252462693643906]",[0.40876138615798]
"[0.05522330836388308, 0.0, -0.0021628295473794523, 0.09801970154916262]",[-0.22775315176945632]
"[0.0521553467881118, 0.0, -0.15512834242646756, 0.07841576123931304]",[-0.26055927502570764]
"[0.0521553467881118, 0.0, -0.12410267394117369, 0.06273260899143906]",[0.18597791165413738]
"[0.0521553467881118, 0.0, -0.09928213915293904, 0.05018608719313988]",[0.42552993968420305]
"[0.0521553467881118, 0.0, -0.07942571132235088, 0.04014886975451759]",[0.14579022788173332]
"[0.0521553467881118, 0.0, -0.06354056905788052, 0.03211909580363681]",[-0.20524928363122408]
"[0.0521553467881118, 0.0, -0.05083245524630442, 0.025695276642892395]",[-0.27640681086817037]
"[0.04908738521234052, 0.0, -0.19406404298560798, 0.020556221314308232]",[-0.06252084903962428]
"[0.04908738521234052, 0.0, -0.1552512343884862, 0.016444977051435217]",[0.2933299981352168]
"[0.04908738521234052, 0.0, -0.12420098751078923, 0.013155981641148173]",[0.40831070678682424]
"[0.04908738521234052, 0.0, -0.0993607900086313, 0.010524785312895801]",[0.10880178736147908]
"[0.04908738521234052, 0.0, -0.07948863200690548, 0.008419828250310957]",[-0.2062121330844]
"[0.04908738521234052, 0.0, -0.06359090560552438, 0.006735862600265818]",[-0.25524885451629487]
"[0.04908738521234052, 0.0, -0.050872724484419596, 0.005388690080195602]",[-0.16754756999773152]
"[0.04908738521234052, 0.0, -0.040698179587535854, 0.004310952064145113]",[-0.11397419366344219]
"[0.04908738521234052, 0.0, -0.03255854367002842, 0.003448761651299037]",[-0.12280136765919582]
"[0.04908738521234052, 0.003067961575771161, -0.026046834936023, 0.15615708810960882]",[0.18908889793242167]
"[0.04908738521234052, 0.003067961575771161, -0.020837467948818134, 0.12492567048769843]",[0.773713543089139]
"[0.04908738521234052, 0.003067961575771161, -0.016669974359054596, 0.09994053639016443]",[1.0235578021443668]
"[0.04908738521234052, 0.003067961575771161, -0.01333597948724341, 0.07995242911212586]",[0.4741743217994353]
"[0.04908738521234052, 0.003067961575771161, -0.010668783589794728, 0.06396194328968363]",[-0.14474332355088393]
"[0.04908738521234052, 0.003067961575771161, -0.008535026871835605, 0.05116955463174122]",[-0.2562192918531335]
"[0.04908738521234052, 0.003067961575771161, -0.006828021497468306, 0.04093564370541003]",[-0.09044506300270103]
"[0.04601942363656923, 0.003067961575771161, -0.15886049598653873, 0.03274851496433939]",[0.14006792985078598]
"[0.04601942363656923, 0.003067961575771161, -0.1270883967892309, 0.02619881197145446]",[0.41906859244646105]
"[0.04601942363656923, 0.003067961575771161, -0.10167071743138445, 0.020959049577186306]",[0.4960137969805286]
"[0.04601942363656923, 0.003067961575771161, -0.0813365739451073, 0.016767239661760414]",[0.20789971163976523]
"[0.04601942363656923, 0.003067961575771161, -0.06506925915608619, 0.013413791729391278]",[-0.08882021878758742]
"[0.04601942363656923, 0.003067961575771161, -0.052055407324868685, 0.010731033383507338]",[-0.13424439502962135]
"[0.04601942363656923, 0.003067961575771161, -0.04164432585989486, 0.008584826706822923]",[-0.05153247341920173]
"[0.04601942363656923, 0.003067961575771161, -0.0333154606879158, 0.006867861365435601]",[-0.0013329832398951175]
"[0.04601942363656923, 0.003067961575771161, -0.026652368550332817, 0.005494289092382587]",[-0.009799876083629517]
"[0.04601942363656923, 0.003067961575771161, -0.02132189484026581, 0.004395431273877648]",[-0.03120435194907932]
"[0.04601942363656923, 0.003067961575771161, -0.017057515872212825, 0.0035163450191362244]",[-0.03716256451633154]
"[0.04601942363656923, 0.003067961575771161, -0.013646012697769994, 0.002813076015286242]",[-0.03205041823029951]
"[0.04601942363656923, 0.006135923151542766, -0.010916810158215995, 0.15564853960080427]",[0.30685348830788794]
"[0.04601942363656923, 0.006135923151542766, -0.008733448126572618, 0.12451883168063205]",[0.8978406130400719]
"[0.04601942363656923, 0.006135923151542766, -0.006986758501258183, 0.09961506534449427]",[1.1407482944657439]
"[0.04601942363656923, 0.006135923151542766, -0.005589406801006724, 0.07969205227561815]",[0.5861979222598915]
"[0.04601942363656923, 0.006135923151542766, -0.004471525440805202, 0.06375364182048315]",[-0.032418313836165266]
"[0.04601942363656923, 0.006135923151542766, -0.0035772203526440727, 0.05100291345638652]",[-0.14193147858464214]
"[0.04295146206079795, 0.006135923151542766, -0.15625985507067952, 0.040802330765131956]",[0.14720337113818396]
"[0.04295146206079795, 0.006135923151542766, -0.12500788405654362, 0.03264186461211693]",[0.5476050068552372]
"[0.04295146206079795, 0.006135923151542766, -0.10000630724523507, 0.02611349168967081]",[0.6544039133276036]
"[0.04295146206079795, 0.006135923151542766, -0.08000504579618806, 0.0208907933517537]",[0.33561748493997257]
"[0.04295146206079795, 0.006135923151542766, -0.06400403663695053, 0.016712634681368854]",[0.015434869576348532]
"[0.039883500485026674, 0.006135923151542766, -0.20460130809812416, 0.01337010774511782]",[0.09373058210839315]
"[0.039883500485026674, 0.003067961575771161, -0.16368104647849924, -0.14270199259246397]",[0.14351967456088427]
"[0.039883500485026674, 0.003067961575771161, -0.13094483718279948, -0.11416159407397686]",[-0.2728498017629881]
"[0.039883500485026674, 0.003067961575771161, -0.1047558697462394, -0.09132927525919854]",[-0.802039495120207]
"[0.03681553890925539, 0.003067961575771161, -0.23720277458555605, -0.07306342020737588]",[-0.45552747939038185]
"[0.03681553890925539, 0.003067961575771161, -0.18976221966844475, -0.05845073616589502]",[0.39571755589975904]
"[0.03681553890925539, 0.003067961575771161, -0.15180977573475585, -0.046760588932698965]",[0.7149339686537274]
"[0.03681553890925539, 0.003067961575771161, -0.12144782058780468, -0.03740847114616486]",[0.33183380202695995]
"[0.03681553890925539, 0.003067961575771161, -0.09715825647024379, -0.02992677691693757]",[-0.08968702492803943]
"[0.03681553890925539, 0.006135923151542766, -0.07772660517619512, 0.12945665725501954]",[0.1811966466972679]
"[0.03681553890925539, 0.006135923151542766, -0.06218128414095592, 0.103565325804027]",[0.891635948209196]
"[0.03681553890925539, 0.006135923151542766, -0.04974502731276487, 0.08285226064325002]",[1.2081680635937688]
"[0.03681553890925539, 0.006135923151542766, -0.039796021850211805, 0.06628180851461707]",[0.6419039659303264]
"[0.03681553890925539, 0.006135923151542766, -0.03183681748016953, 0.05302544681165955]",[-0.007802912461636322]
"[0.03681553890925539, 0.006135923151542766, -0.025469453984135804, 0.04242035744934469]",[-0.12617730602548805]
"[0.0337475773334841, 0.006135923151542766, -0.17377364197587286, 0.03393628595947007]",[0.17029666320908926]
"[0.0337475773334841, 0.003067961575771161, -0.1390189135806983, -0.12624905002098785]",[0.2422770859537798]
"[0.0337475773334841, 0.003067961575771161, -0.11121513086455859, -0.10099924001679028]",[-0.24194617302020838]
"[0.0337475773334841, 0.003067961575771161, -0.08897210469164674, -0.08079939201343223]",[-0.8073810022799548]
